p0,c,accuracy,FP
0.1,3,0.7,0
0.1,5,0.7,0
0.1,7,0.7,0
0.1,10,0.7,0
0.1,15,0.7,0
0.2,3,0.65,0
0.2,5,0.65,0
0.2,7,0.65,0
0.2,10,0.65,0
0.2,15,0.649,0
0.3,3,0.599,0
0.3,5,0.6,0
0.3,7,0.601,0
0.3,10,0.6,0
0.3,15,0.599,0
0.4,3,0.549,0
0.4,5,0.55,0
0.4,7,0.55,0
0.4,10,0.55,0
0.4,15,0.55,0
0.5,3,0.5,0
0.5,5,0.501,0
0.5,7,0.5,0
0.5,10,0.5,0
0.5,15,0.5,0
0.6,3,0.551,0
0.6,5,0.55,0
0.6,7,0.55,0
0.6,10,0.551,0
0.6,15,0.55,0
0.7,3,0.6,0
0.7,5,0.6,0
0.7,7,0.601,0
0.7,10,0.6,0
0.7,15,0.6,0
0.8,3,0.65,0
0.8,5,0.65,0
0.8,7,0.65,0
0.8,10,0.65,0
0.8,15,0.651,0
0.9,3,0.7,0
0.9,5,0.699,0
0.9,7,0.7,0
0.9,10,0.7,0
0.9,15,0.7,0
